,Algorithm,Dataset,nnmd,line
299,ComBat+QN,CCR-JACKS,-4.95473248727507,ACH-000796
300,ComBat+QN,CCR-JACKS,-4.567035431440149,ACH-000799
301,ComBat+QN,CCR-JACKS,-4.615025582344381,ACH-000800
302,ComBat+QN,CCR-JACKS,-5.3052233702147324,ACH-000801
303,ComBat+QN,CCR-JACKS,-5.603637655013597,ACH-000802
304,ComBat+QN,CCR-JACKS,-4.376639712173596,ACH-000804
305,ComBat+QN,CCR-JACKS,-4.861859091471686,ACH-000805
306,ComBat+QN,CCR-JACKS,-4.680283323532793,ACH-000810
307,ComBat+QN,CCR-JACKS,-4.841002221743144,ACH-000811
308,ComBat+QN,CCR-JACKS,-5.219540435547173,ACH-000819
309,ComBat+QN,CCR-JACKS,-4.106399808900264,ACH-000820
310,ComBat+QN,CCR-JACKS,-4.628088918261244,ACH-000821
311,ComBat+QN,CCR-JACKS,-5.154215091170101,ACH-000822
312,ComBat+QN,CCR-JACKS,-5.285216385583672,ACH-000827
313,ComBat+QN,CCR-JACKS,-5.091452478795563,ACH-000829
314,ComBat+QN,CCR-JACKS,-5.2818399191289265,ACH-000831
315,ComBat+QN,CCR-JACKS,-4.93230705920423,ACH-000833
316,ComBat+QN,CCR-JACKS,-5.641491275262872,ACH-000834
317,ComBat+QN,CCR-JACKS,-5.431401986064165,ACH-000835
318,ComBat+QN,CCR-JACKS,-5.012308013092156,ACH-000836
319,ComBat+QN,CCR-JACKS,-5.4750738245477,ACH-000837
320,ComBat+QN,CCR-JACKS,-4.636455674855957,ACH-000838
321,ComBat+QN,CCR-JACKS,-4.983184996041489,ACH-000839
322,ComBat+QN,CCR-JACKS,-4.395948940448846,ACH-000840
323,ComBat+QN,CCR-JACKS,-5.358338778853345,ACH-000848
324,ComBat+QN,CCR-JACKS,-5.118441532054088,ACH-000851
325,ComBat+QN,CCR-JACKS,-5.564194543185789,ACH-000853
326,ComBat+QN,CCR-JACKS,-5.080374135261689,ACH-000862
327,ComBat+QN,CCR-JACKS,-5.3106277021992785,ACH-000866
328,ComBat+QN,CCR-JACKS,-5.009440412106028,ACH-000867
329,ComBat+QN,CCR-JACKS,-5.078966772517695,ACH-000872
330,ComBat+QN,CCR-JACKS,-5.4365006419405075,ACH-000881
331,ComBat+QN,CCR-JACKS,-5.290969192651431,ACH-000882
332,ComBat+QN,CCR-JACKS,-5.233572416006537,ACH-000884
333,ComBat+QN,CCR-JACKS,-5.769092800014754,ACH-000887
334,ComBat+QN,CCR-JACKS,-5.1012569815680004,ACH-000888
335,ComBat+QN,CCR-JACKS,-5.262040596529708,ACH-000889
336,ComBat+QN,CCR-JACKS,-4.504699183405422,ACH-000890
337,ComBat+QN,CCR-JACKS,-5.400795720196049,ACH-000896
338,ComBat+QN,CCR-JACKS,-4.4732460961884115,ACH-000898
339,ComBat+QN,CCR-JACKS,-4.9165191845681555,ACH-000899
340,ComBat+QN,CCR-JACKS,-5.211542275054641,ACH-000901
341,ComBat+QN,CCR-JACKS,-5.255304109894609,ACH-000905
342,ComBat+QN,CCR-JACKS,-4.846645895254247,ACH-000907
343,ComBat+QN,CCR-JACKS,-5.602463100462372,ACH-000912
344,ComBat+QN,CCR-JACKS,-5.128900039286198,ACH-000914
345,ComBat+QN,CCR-JACKS,-5.4702701689512265,ACH-000915
346,ComBat+QN,CCR-JACKS,-3.517463952228643,ACH-000916
347,ComBat+QN,CCR-JACKS,-5.7239067756220114,ACH-000921
348,ComBat+QN,CCR-JACKS,-5.308649940756319,ACH-000924
349,ComBat+QN,CCR-JACKS,-4.456875285634256,ACH-000928
350,ComBat+QN,CCR-JACKS,-4.843740215989252,ACH-000929
